origin_name;origin_description;origin_agility_bonus;origin_perception_bonus;origin_character_bonus;origin_guile_bonus;origin_build_bonus;dowolny
Po?udniowa Hegemonia;W ?wiecie rz?dzonym przez morderc?, regu?y s? jasne i proste. Trzeba umie? walczy?, by prze?y?. Je?li kto? co? ci ukrad?, to znaczy, ?e ?le tego strzeg?e?. Je?li kto? obi? ci mord?, to znaczy, ?e ci si? nale?a?o. Nie ma s?d?w. Nie ma dziesi?ciu przykaza?. Nie ma gadki o nie po??daniu ?ony bli?niego swego. Co si? tak gapisz?! Tak, pochodz? z Hegemoni i jako? nie narzekam. To twarda szko?? ?ycia, ale wierz mi, nie chcia?bym urodzi? si? gdzie indziej. Nasz ?wiat jest prosty: albo kto? m?wi ci prawd?, albo strzelasz mu w ?eb. Albo potrafisz udowodni?, ?e jeste? m??czyzn?, albo kopiesz w kalendarz nim do?yjesz dwudziestki. Dlatego Hegemonia si? rozrasta, a ty szczasz na m?j widok i kulisz za ka?dym razem, kiedy podnosz? g?os. Pochodz? z Hegemonii i i we mnie jest si?a. Je?li spotkasz kogo?, kto wychowa? si? u nas, nie zadzieraj z nim. Nie pr?buj go oszuka?, ani ok?ama?. Nie pr?buj by? cwany. Nie warto.;;;;;1;
Vegas;Vegas to mieszanka mafioz?w spod ciemnej gwiazdy i ?wir?w. Gdy widz? - bez urazy - takich palant?w jak ty, spluwa sama wskakuje mi do r?ki. Wsz?dzie w?szycie interes i zysk,a najlepiej, gdy mo?na jeszcze w co? zagra? i zgarn?? podw?jn? pul?. To jaka? choroba, nie wiem czym pieprzn?? w was Moloch, ale siad?o wam na m?zg i zlasowa?o go bez reszty. Nie potraficie ?y? bez ryzyka. No dobra, ale kilku rzeczy nie mo?na wam odm?wi?. Macie farta, zasra?cy, o tym wiedz? wszyscy. Nie wiem, czy to jakie? promieniowanie, czy inna cholera, ale to dzia?a. Wtedy, dwa lata temu, zanim rozwali?em tego palanta od drabiny, dwa razy pod rz?d zaci?? mi si? Glock. Ch?opcze, to si? nie zdarza. No chyba, ?e akurat walisz do kogo? z Vegas. A nie uwa?asz tego za ?mieszne, ?e wy wszyscy wierzycie w ka?dy g?upi przes?d i dziecinne opowie?ci o duchach? A wiesz, co najbardziej mnie wkurza? Brak zasad. Wasze podej?cie do ?ycia, ci?g?e kantowanie i matactwa. Kombinowanie, jak zrobi? krzywd? drugiemu, jak pod?o?y? mu nog? i zaj?? jego miejsce. Fakt, to daje wam niez?? odporno?? na dzia?ania innych. Fakt, zrobi? w wa?a kogo? z Vegas, to sztuka. Fakr, cz?sto wychodzi na twoje, bo potrafisz ?ciemnia? jak nikt inny. Ale nie my?l, ?e ci? za to szanuj?. Ani troch?, cholerny, zak?amany, wierz?cy w duchy, palancie. ;1;;;;;
Cz?owiek pustyni;"Wtedy, gdy zrzucali bomby, nikt. ale to nikt nie celowa? w rezerwaty czerwonosk?rych. Indnia?ce przetrwali wojn? niemal nie ruszeni. I wiesz co? Gdy wszystko ucich?o, wyle?li z rezerwat?w i zacz?li dyktowa? warunki. Nie wle?li do ruin Vegas, ani nie zap?dzili si? w okolice Miami. S? na pustyni. I maj? si? tam cholernie dobrze. ?atwo ich rozpozna?: smag?a cera i spokojne podej?cie do ?ycia. Nie wszyscy s? czerwonosk?rzy. Teraz po pustyniach ?azi od groma ludzi, kt?rzy lubi? przestrze? i spok?j. Bia?ych, czarnych, nawet ???tych. Nie liczy si? kolor sk?ry, ale filozofia ?ycia, a g??wnie to, ?e wojna wcale ich nie zmartwi?a. ?a?? sobie po ?wiecie i delektuj? si? przyrod?, popapra?cy. Wygl?daj? na szcz??liwych, s?owo daj?. Nigdzie si? nie spiesz?. S? zadowoleni z siebie i pewni tego, ?e na pustyni s? czempionami przetrwania. W?drowa?em kiedy? z jednym takim i powiem ci, w ko?cu kaza?em mu si? wynosi? w diab?y. Polubi?em go troch? i tylko dlatego nie w?adowa?em mu kuli w ?eb. By? irytuj?cy. Nie jedz tyle, marnujesz jedzenie. Nie pij tyle, przecie? nie chce ci si? pi?. Sugerowa? nawet bym zostawi? na pustyni sw?j karabin. Jest ci??ki, po co go nosisz? Tracisz niepotrzebnie si?y. Doprowadza? mnie tym do pasji. Cokolwiek robi?em, marnowa?em energi?, si?y, sprz?t. Raz rozbi? mnie ju? zupe?nie. Wyskoczy? zza za?omu jaki? mutant, wi?c w?adowa?em mu seri? prosto w bebechy. Bia?y Sok?? spojrza? na mnie i m?wi, ?e jestem g?upcem. ""Wystarczy?a jedna kula. Marnujesz amunicj?"". Kaza?em mu wypieprza?. No i poszed? sobie. Zostawi? mnie na tej cholernej pustyni i omal si? nie upiek?em. Cudem doczo?ga?em si? do jakiej? osady. Jak go kiedy? spotkam...";;1;;;;
Nowy Jork;Wszyscy Nowojorczycy, jak jeden m?? s? zawzi?ci jak diabli, do tego s? patetyczni do obrzydzenia. Dziw, ?e nie ?a?? ubrani w ameryka?sk? flag?. Trzydzie?ci lat temu chyba najbardziej oberwa? Waszyngton i w?a?nie Nowy Jork. Dzi? Waszyngton to czarna dziura, NJ za? rozwija si? i zadziornie wymachuje flag? w kierunku Molocha. Nowojorczycy jeszcze przed wojn? dostali srogo po dupie, bo to zawsze by?o miasto, w kt?re ka?dy chcia? uderzy?. Kiedy wybuch?a wojna, mieszka?cy mieli ju? serdecznie do?? wszelkich atak?w. Teraz s? ?wietnie zorganizowani. Og?osili NJ stolic? Stan?w, a ich przyw?dca mianowa? si? prezydentem. Zbroj? si? i odbudowuj?. Nigdzie indziej nie ma takiej mocy i energii, ?adne inne miasto nie ma takiej ochoty stan?c na nowo na nogi i skopa? dupsko Molochowi. Nowojorczycy zmienili si? w niewiarygodnym stopniu. Wzi?li na siebie ci??ar podniesienia pa?stwa na nogi i haruj? jak wo?y, by to si? powiod?o. Wykopali Tornado z granic miasta, walcz? z przest?pczo?ci?, inwestuj? w edukacj?. Ucz? o historii Stan?w i wielkich bohaterach dawnych dni. Powiem ci, mo?na pu?ci? pawia s?uchaj?c tych przem?w, widz?c ?wi?towanie Dnia Niepodleg?o?ci, race i transparenty. Gdy us?ysza?em, ?e zrobili parad? z jakie? tam okazji, omal nie pad?em. S? naprawd? przej?ci swoj? rol? i znaczeniem. Oni naprawde wierz?, ?e uratuj? Stany i spuszcz? lanie Molochowi. Wiesz, ?e buduj? kolej? Uruchomili kilka fabryk, elektrownie, maj? nawet szko?y dla dzieciak?w! ?miej? si? z nich, ale tak szczerze m?wi?c, szanuj? ich za wol? walki i odwag?. Je?li kto? spu?ci Molochowi wpieprz, to b?d? to w?a?nie Nowojorczycy. Nikt inny. ;;;1;;;
Texas;"Rodzina to ?wi?to??. Ziemia to ?wi?to??. Zwierz?ta to ?wi?to??. W?asno?? prywatna to ?wi?to?? i prawo go?cinno?ci to tak?e ?wi?to??. Teksa?czycy to przesympatyczni ludzie o bardzo silnych, ugruntowanych refu?ach ?ycia i niesamowicie stabilnym ?wiatopogl?dzie. Wierz? w co wierz? i nie daj? si? ?atwo z tej wiary wybi?. Najwa?niejsza jest dla nich rodzina i dom. To jedyni ludzie na ziemi, kt?rzy ugoszcz? ci?, nakarmi?, pomodl? si? za ciebie przed snem i jeszcze dadz? prowiant, gdy b?dziesz odje?d?a?. Pomog? naprawi? w?z, dadz? troch? lek?w na drog?. Zrobi? to wszystko i jeszcze wi?cej. Zrobi? to, je?li oczywi?cie nie jeste? Chi?czykiem, lub murzynem. Teksa?czycy nie przepadaj? za kolorowymi. Prawd? m?wi?c, nie lubi? te? mormon?w. No i oczywi?cie arab?w, tych to nawet bardzo nie lubi?. Maj? pewien uraz do mutacji, wi?c je?li masz jakie? k?opoty z cia?em, lepiej jednak si? nie zap?dzaj w tamte strony. Mam nadziej?, ?e nie jeste? te? zbocze?cem, to nie moja sprawa, ale oni... Aha, i lepiej, by? nie mia? jakiego? przewlek?ego, zara?liwego chor?bska. Teksa?czycy maj? takie powiedzenie: ""Chore byd?o trzeba odstrzeli? dla dobra ca?ego stada."" Poza tym s? ca?kiem tolerancyjni. To bardzo mili ludzie. Pomog?, doradz?... Aha, zapomnia?bym, nie ?paj Tornado. Tego te? nie uznaj?. ";;;;;1;
Federacja Appalach?w;"Go?cia z Federacji poznasz na kilometr albo i dwa. ?azi wyprostowany, g?owa podniesiona wysoko. Facet taksuje wszystkich wok??, jak jaki? wizytator. Tam, w Federacji, maj? system kastowy, jest szlachta, magnaci, s? te? ch?opi, kt?rzy haruj? jak niewolnicy. Maj? te? kast? ?o?nierzy, kt?rym nadano ziemi? i tytu?y. Czujesz to? P?? Stan?w rozpieprzonych w drobny mak, a ci nadaj? sobie ziemi?. Ziez?e jaja, nie? Zadrwij z kogo? z Federacji, a uzna, ?e go obrazi?e? i zechce si? z tob? pojedynkowa?. Wyci?gnie z baga?nika szpad?, lub dwa rewolwery, a je?li b?dziesz wybrzydza?, bez mrugni?cia okiem po?o?y ci? seria z ka?acha. S? honorowi i wzoruj? si? na dawnych. oficerskich tradycjach. Przystosowali jednak dawne prawa do nowego ?wiata. Stare regu?y i zwyczaje stosuj?, gdy mo?na, lecz je?li trzeba by? elastycznym, bez zastanowienia dzia?aj? po nowemu, ka?achem lub granatnikiem. Dryg oficerski, zasady, honor i szacunek pomi?dzy sob?, a dla posp?lstwa granat. Go?cie maj? fantazj?, trzeba im przyzna?. Je?li spotkasz kogo? z Federacji, b?d? ostro?ny, to facet lub babka, kt?rzy pochodz? z autonomicznego ksi?stwa, pe?nego zasad i zwyczaj?w. A poniewa? nie do ka?dego z tych frajer?w dociera, ?e poza Federacj? ich kasty i tytu?y mog? sobie ""wsadzi?"", zawsze ci?gn? si? za nimi k?opoty.";;;1;;;
Miami;"Widzia??? kiedy? Miami? Gdyby? tam by?, to wiedzia?by? wszystko. Du?o b?ota i zmutowane aligatory - tak wygl?da?aby widok?wka, kt?r? m?g?by? wys?a? kumplom. Gdybym chcia? ci poleci? jaki? film o tym mie?cie, zaproponowa?bym ""Krokodyla Dundee"". Widzia?e? mo?e? Go?cie z Miami to prawdziwi twardziele. Ci z Hegemonii, czy Nowego Jorku to te? nie mi?czaki, sam wiem, co ci o nich opowiada?em, ale tam, w Miami, ?yj? najprawdziwsi twardziele. Nie ma bardziej prawdziwych twardzieli. Faceta z tych bagien poznasz bardzo prosto, wystarczy si? przyjrze?. Zaci?ta twarz, cygaro w z?bach, kapelusz opuszczony na oczy. Kiedy? nawet zastanawia?em si?, czy ?ciany ich dom?w s? wyklejone zdj?ciami Clinta Eastwooda. To, ?e ka?dy z nich udaje tego go?cia, wida? ju? z odleg?o?ci p?? mili. Czym b?dzie podchodzi? bli?ej, tym jego poza b?dzie bardziej widoczna. Wiesz, kocie ruchy, niby od niechcenia, niby na luzie, a przeciez dobrze wiesz, ?e jeden niew?a?ciwy ruch i masz n?? w bebechach. A tam, w Miami, nosz? najwi?ksze no?e wsp??czesnego ?wiata. Siedzi taki potem przy barze, nagle spluwa, ko?czy drinka i rzuca tekstem w stylu: ""Ale mnie ?eb ?upi. Id? ubi? jakie? cholerstwo."" I wychodzi z knajpy. Wraca po tygodniu. Pytasz go: ""I jak?"", a on, jak gdyby nigdy nic, odpowiada: ""Ubi?em gada"". Nigdy nie wiesz, czy ?artuje, czy m?wi powa?nie, dopiero p??niej, jak b?dziesz wyje?d?a?, zobaczysz ?cierwo wielko?ci mamuta le??ce przed granic? mie?ciny. Znak, ?e go?? nie ?artowa? i naprawd? polaz? w teren ubi? co? du?ego. Tacy s? w?a?nie ludzie z Miami. Dlatego w??nie ich lubi?. To nie s? mi?czaki, ani ?wirusy. Po prostu dobrze graj? swoj? rol?. A wiesz, ja uwielbiam stare filmy z Clintem Eastwoodem...";;1;;;;
Cz?owiek z... nie tw?j zasrany interes;Z nimi jest najgorzej, je?d?? od miasta do miasta, nie mog?c usiedzie? na dupsku. Nie maj? bliskich, rodziny ani przyjaci??. Maj? wielu wrog?w, bo zawsze, jak si? pojawiaj? w nowym miejscu, to bru?d??, by w ko?cu si? wynie??. K?opot z nimi polega na tym, ?e nigdy nie wiesz, czego si? po nich spodziewa?. Cholerni internacja?owie, je?li wiesz, co mam na my?li. Szybko si? ucz?, ?api? nawyki, maj? dryg do nauki j?zyk?w i gwar. Wiedz?, co ?re si? w Vegas, jakie s? regu?y walk gladiator?w na po?udniu i co to jest Korkcity. Je?d?? i ogl?daj?. Trzeba przyzna?, ?e ta wieczna podr?? hartuje ich jak ma?o co. Ka?dy z takich w?drowc?w wyszed? ju? z niejednej opresji, ka?dy z nich ma dom na plecach, w ka?dej chwili mo?e podnie?? dupsko, wyj?? z knajpy i ruszy? w dwumiesi?czn? podr??. To ich styl. Ludzie z nik?d.;;;;;;1
Salt Lake City;Czas na dobr? wiadomo??. W por?wnaniu do wie?niak?w z Salt Lake jeste? ca?kiem r?wnym go?ciem. Jak wiesz, nie przepadam za Vegas, ale to, co doprowadza mnie do bia?ej gor?czki, to w?a?nie palant z Salt Lake. Nie ?ebym mia? co? do mormon?w, kilka ich pomys??w na ?ycie jest ca?kiem OK, nie jestem fanatykiem religijnym i nikogo do niczego nie zmuszam, niech sobie wierz? w co chc?. Ale do cholery! Niech nie przekonuj? mnie, ?e ich pomys?y na ?ycie s? lepsze od moich! Najch?tniej wysadzi?bym ruiny Salt Lake w powietrze. Tylu kult?w i sekt, ile tam znajdziesz, nie ma nigdzie indziej. Je?li pochodzisz z Salt Lake, to znaczy, ?e masz zdrowo nasrane we ?bie, bo ju? wpad?e? w sid?a jakie? sekty, jeste? wyznawc? jednej z nowych religii, wierzysz w boga skarpetek, albo b?dziesz mnie przekonywa?, ?e mutanci to takie anio?y, tylko bez skrzyde?. Uwa?aj na nich, nieopatrznie dasz sobie postawi? drinka i ju? masz wiecz?r z g?owy. Przysiada si? taki i nawija, pyta, wyja?nia, przekonuje. To jest ob??d jaki?, ka?dy ma inne wisiory i znaki, jeden ma tatua? na dupie, inny przeku? sobie nos, a ka?dy z nich w jakim? celu. Mroczni go?cie, s?owo daj?. Maj? tysi?c teorii i odpowiedzi na najbardziej mroczne pytania. Czytaj? ksi??ki, ogl?daj? jakie? kasety, robi? sobie seanse i du?o ?paj?. Sekta i tyle. Najlepiej ich wszystkich wys?a? do Molocha, mo?e jego przekonaj? do zmiany spojrzenia na ?ycie. ;;;;1;;
Missisipi;Ci, co ?yj? w okolicach Missisipi, to w zasadzie mutanci. Niby wygl?daj? normalnie... To tylko pozory. ?a?? w ci??kich przeciwdeszczowych p?aszczach, nosz? maski przeciwgazowe i maj? grube r?kawice. Z daleka wygl?daj? o wiele gro?niej ni? mutanci. Z drugiej strony, trudno im si? dziwi?. Missisipi to dzi? najbardziej niebezpieczny teren, ta rzeka niemal gotuje si? od syfu, kt?ry zawiera. Pieni si? i bulgocze. Pomy?l, w?azi?by? do niej bez dobrych gumowc?w?! Tak wi?c ci, kt?rzy pracuj? na Missisipi, to skuba?cy ?a??cy w naprawd? grubych gumowcach. S? odporni dos?ownie na wszystko. Co prawda, rzadko opuszczaj? sw?j ukochany ?ciek, ale jak ju? rusz? swe twardze dupsko, mo?esz by? pewien dw?ch rzeczy. Po pierwsze, nigdy nie wysy?aj ich do sprawdzania, czy teren jest ska?ony. To, ?e go?? z Missisipi rozbi? gdzie? namiot, nie oznacza, ?e ty przetrwasz tam cho? pi?? minut. A po drugie, mo?esz by? pewien, ?e kole?, kt?ry wychowa? si? na tej rzece, widzia? naprawd? wszystko. Mo?esz go pyta? i na ka?dy temat us?yszysz historyjk?. Ich opowie?ci s? naprawd? przekonuj?ce, no ale je?li ka?da minuta historyjki poparta jest prezentacj? kolejnej blizny, trudno nie uwierzy?, nie? Ja piernicz?, ale oni wygl?daj?! ?ycie na rzece to nie bajka, tego jestem pewien.;;1;;;;
